chemin du ficher,nom du paquet,nom de la classe,NOC,WMC,CBO,CC,RFC
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\plot\Marker.java,src.main.java.org.jfree.chart.plot,Marker.java,7,16,10,60.0,34.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\data\KeyedObjects2DTest.java,src.test.java.org.jfree.data,KeyedObjects2DTest.java,0,11,8,16.0,34.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\xy\HighLowRenderer.java,src.main.java.org.jfree.chart.renderer.xy,HighLowRenderer.java,0,6,27,58.0,33.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\swing\editor\DefaultTitleEditor.java,src.main.java.org.jfree.chart.swing.editor,DefaultTitleEditor.java,0,4,7,23.0,33.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\data\time\Quarter.java,src.main.java.org.jfree.data.time,Quarter.java,0,1,11,46.0,33.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\internal\PaintUtils.java,src.main.java.org.jfree.chart.internal,PaintUtils.java,0,0,1,56.0,33.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\swing\editor\FontChooserPanel.java,src.main.java.org.jfree.chart.swing.editor,FontChooserPanel.java,0,1,3,19.0,33.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\data\DefaultKeyedValues.java,src.main.java.org.jfree.data,DefaultKeyedValues.java,0,11,14,49.0,33.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\data\xy\XIntervalSeriesTest.java,src.test.java.org.jfree.data.xy,XIntervalSeriesTest.java,0,14,9,14.0,33.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\data\statistics\DefaultMultiValueCategoryDataset.java,src.main.java.org.jfree.data.statistics,DefaultMultiValueCategoryDataset.java,0,1,15,43.0,33.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\data\time\Month.java,src.main.java.org.jfree.data.time,Month.java,0,1,10,55.0,32.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java,src.main.java.org.jfree.chart.annotations,TextAnnotation.java,1,6,10,26.0,32.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\api\RectangleInsets.java,src.main.java.org.jfree.chart.api,RectangleInsets.java,0,1,4,39.0,32.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\data\ComparableObjectSeries.java,src.main.java.org.jfree.data,ComparableObjectSeries.java,6,2,10,64.0,32.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\data\time\ohlc\OHLCSeriesCollection.java,src.main.java.org.jfree.data.time.ohlc,OHLCSeriesCollection.java,0,4,18,48.0,31.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\plot\CombinedRangeXYPlotTest.java,src.test.java.org.jfree.chart.plot,CombinedRangeXYPlotTest.java,0,6,26,9.0,31.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\data\xy\XYIntervalSeriesTest.java,src.test.java.org.jfree.data.xy,XYIntervalSeriesTest.java,0,13,13,13.0,31.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java,src.main.java.org.jfree.chart.annotations,XYTitleAnnotation.java,0,3,29,38.0,31.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\axis\SubCategoryAxis.java,src.main.java.org.jfree.chart.axis,SubCategoryAxis.java,0,3,16,52.0,31.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\StackedXYAreaRenderer2Test.java,src.test.java.org.jfree.chart.renderer.xy,StackedXYAreaRenderer2Test.java,0,7,22,9.0,31.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\plot\SpiderWebPlotTest.java,src.test.java.org.jfree.chart.plot,SpiderWebPlotTest.java,0,5,22,10.0,31.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\data\KeyedObjectsTest.java,src.test.java.org.jfree.data,KeyedObjectsTest.java,0,10,11,14.0,30.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\XYAreaRenderer2Test.java,src.test.java.org.jfree.chart.renderer.xy,XYAreaRenderer2Test.java,0,7,18,9.0,30.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\axis\PeriodAxisTest.java,src.test.java.org.jfree.chart.axis,PeriodAxisTest.java,0,8,19,13.0,30.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\StackedXYBarRendererTest.java,src.test.java.org.jfree.chart.renderer.xy,StackedXYBarRendererTest.java,0,7,21,8.0,30.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\title\ImageTitle.java,src.main.java.org.jfree.chart.title,ImageTitle.java,0,2,9,35.0,30.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\api\RectangleAlignment.java,src.main.java.org.jfree.chart.api,RectangleAlignment.java,0,1,2,18.0,30.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\plot\dial\ArcDialFrame.java,src.main.java.org.jfree.chart.plot.dial,ArcDialFrame.java,0,8,13,49.0,30.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\data\statistics\HistogramDataset.java,src.main.java.org.jfree.data.statistics,HistogramDataset.java,0,3,14,65.0,30.0
